Province/State,Country/Region,Lat,Long,Date,Confirmed,no_of_deaths,Recovered,Active,WHO Region,Total,Month,4days_avg,Difference,diff_death_and_recovered
Unknown,Tunisia,33.886917,9.537499,2020-07-10,1240,50,1067,123,Eastern Mediterranean,2480,7,15426.658622586776,-0.07990799079907991,1017
Unknown,Lesotho,-29.61,28.2336,2020-03-26,0,0,0,0,Africa,0,3,15426.658622586776,-1240.0,0
Unknown,Kyrgyzstan,41.20438,74.766098,2020-05-04,830,10,575,245,Europe,1660,5,15426.658622586776,830.0,565
Unknown,Angola,-11.2027,17.8739,2020-03-07,0,0,0,0,Africa,0,3,517.5,-830.0,0
Greenland,Greenland,71.7069,-42.6043,2020-06-26,13,0,13,0,Europe,26,6,210.75,13.0,13
Unknown,Saudi Arabia,23.885942,45.079162,2020-05-22,67719,364,39003,28352,Eastern Mediterranean,135438,5,17140.5,67706.0,38639
Unknown,Sudan,12.8628,30.2176,2020-05-07,930,52,92,786,Eastern Mediterranean,1860,5,17165.5,-66789.0,40
Unknown,Uruguay,-32.5228,-55.7658,2020-05-17,734,20,564,150,Americas,1468,5,17349.0,-196.0,544
Unknown,Indonesia,-0.7893,113.9213,2020-01-23,0,0,0,0,South-East Asia,0,1,17345.75,-734.0,0
Jilin,China,43.6661,126.1923,2020-06-21,155,2,153,0,Western Pacific,310,6,454.75,155.0,151
Unknown,Peru,-9.19,-75.0152,2020-05-13,76306,2169,24324,49813,Americas,152612,5,19298.75,76151.0,22155
Unknown,Guyana,4.860416000000002,-58.93018000000001,2020-06-14,159,12,99,48,Americas,318,6,19155.0,-76147.0,87
Unknown,Gabon,-0.8037,11.6094,2020-06-18,4340,32,1657,2651,Africa,8680,6,20240.0,4181.0,1625
Unknown,Denmark,56.2639,9.5018,2020-07-05,12832,606,11817,409,Europe,25664,7,23409.25,8492.0,11211
Tianjin,China,39.3054,117.323,2020-06-17,197,3,191,3,Western Pacific,394,6,4382.0,-12635.0,188
Unknown,Ukraine,48.3794,31.1656,2020-04-27,9009,220,864,7925,Europe,18018,4,6594.5,8812.0,644
Channel Islands,United Kingdom,49.3723,-2.3644,2020-05-30,560,45,525,-10,Europe,1120,5,5649.5,-8449.0,480
Unknown,Eritrea,15.1794,39.7823,2020-07-10,232,0,107,125,Africa,464,7,2499.5,-328.0,107
